"id","mean","std","n","se","day","height","length"
"A",13,0.282842712474618,2,0.199999999999999,1,"bottom","quarter"
"B",23.62,0.206639783197718,3,0.119303534454489,1,"middle","quarter"
"C",12.47,0.475709995690651,3,0.274651294068193,1,"top","quarter"
"D",12.5866666666667,0.151437555888007,3,0.0874325136573599,1,"bottom","half"
"E",12.1933333333333,0.0702376916856852,3,0.0405517502019883,1,"middle","half"
"F",12.2,0.311929479209644,3,0.180092568789868,1,"top","half"
"G",12.8033333333333,0.280416357107308,3,0.161898459261078,4,"bottom","half"
"H",12.8666666666667,0.335459883344243,3,0.193677853951119,8,"bottom","half"
"I",12.5833333333333,0.0503322295684724,3,0.0290593262902716,11,"bottom","half"
"J",12.5266666666667,0.395516539898565,3,0.228351580779386,15,"bottom","half"
"K",12.4966666666667,0.406734966942029,3,0.234828542652814,18,"bottom","half"
"L",12.4,0.14,3,0.0808290376865476,22,"bottom","half"
"M",12.22,0.407308237088326,3,0.235159520326097,25,"bottom","half"
"N",12.0533333333333,0.600777274314978,3,0.346858921048762,29,"bottom","quarter"
"O",12.5733333333333,0.255016339345802,3,0.147233752169052,29,"middle","quarter"
"P",10.7133333333333,0.657292426042878,3,0.379487959112158,29,"top","quarter"
"Q",12.01,0.475709995690652,3,0.274651294068194,29,"bottom","half"
"R",11.8133333333333,0.219620885467055,3,0.126798177344068,29,"middle","half"
"S",11.4033333333333,0.191398362932742,3,0.110503896361672,29,"top","half"
