"","AY111","AY125","AY126","AY129","AY138","AY142","AY159","AY191","AY198","AY207","AY208","AY218","AY224","AY236","AY24","AY241","AY244","AY245","AY254","AY263","AY268","AY284","AY289","AY29","AY293","AY300","AY309","AY328","AY331","AY339","AY353","AY365","AY37","AY381","AY389","AY409","AY410","AY416","AY418","AY432","AY438","AY439","AY456","AY457","AY458","AY459","AY46","AY465","AY466","AY487","AY489","AY492","AY493","AY495","AY528","AY533","AY536","AY537","AY538","AY545","AY553","AY562","AY566","AY571","AY572","AY574","AY586","AY595","AY601"
"A-rep2",8.49,NA,NA,NA,NA,14.51,NA,8.47,11.4,14.64,NA,9.64,14.68,9.42,7.79,7.64,10.04,9.33,10.95,6.63,NA,NA,8.18,14.03,6.8,6.22,5.78,14.93,9.68,NA,14.66,9.27,8.16,NA,16.32,12.07,8.94,8.93,NA,NA,NA,NA,NA,9.91,20.31,10.51,4.17,NA,NA,9.32,9.89,11.57,9.37,NA,10.1,7.37,7.76,12.43,8.08,NA,5.1,13.7,14.64,NA,7.08,8.2,NA,NA,19.13
"A-rep3",NA,NA,NA,NA,NA,NA,NA,9.12,10.14,NA,NA,9.88,13.85,9.59,8.03,7.99,9.52,9.35,11.01,6.86,NA,NA,8.32,14.56,7.61,6.19,5.98,14.36,10.1,NA,NA,9.54,8.76,NA,NA,12.84,10.11,9.28,NA,NA,NA,NA,NA,12.78,18.97,9.75,4.49,NA,NA,9.7,9.85,13.27,10.22,NA,9.81,7.49,7.94,10.21,8.49,NA,5.34,11.64,14.43,NA,7.44,8.28,NA,NA,NA
"B-rep1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.95,NA,NA,NA,NA,NA,5.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.16,NA,NA,NA,-0.759999999999998,NA,NA,NA,NA,5.23,NA,NA,NA,NA,NA,7.46,NA,NA,NA,NA,NA
"B-rep2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.61,NA,NA,NA,NA,NA,5.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.88,NA,NA,NA,-0.760000000000002,NA,NA,NA,NA,10.38,8.33,NA,NA,NA,NA,10.96,NA,NA,NA,9.3,NA
"B-rep3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.55,NA,NA,NA,NA,NA,6.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.59,NA,NA,NA,NA,6.56,3.27,NA,NA,NA,NA,NA,NA,NA,NA,6.1,NA
"C-rep1",8.95,NA,NA,NA,NA,17.24,NA,10.6,11.01,13.6,NA,9.45,NA,9.47,7.73,8,10.05,9.26,11.38,7.16,NA,NA,8.27,14.34,7.76,6.2,5.76,14.7,10.14,NA,NA,9.56,8.44,18.4,14.69,11.44,9.29,9.27,NA,NA,NA,NA,NA,NA,14.31,11.94,5.2,NA,NA,9.41,9.53,13.87,10.69,NA,10.51,NA,7.29,10.37,8.53,NA,5.4,12.72,17.77,NA,7.41,8.31,22.22,NA,NA
"C-rep2",NA,NA,16.56,NA,NA,20.9,NA,8.69,10.6,15.83,NA,9.97,NA,9.79,7.82,8.39,10.28,9.33,11.37,6.99,NA,NA,8.11,14.78,7.17,6.11,5.59,13.85,9.88,NA,NA,9.81,8.38,16.46,NA,11.85,9.68,9.23,NA,18.85,NA,NA,NA,10.72,14.59,11,5.12,NA,21.52,9.64,9.68,12.26,NA,NA,10.94,7.71,7.66,11.79,8.9,NA,5.57,12.4,13.85,NA,7.22,8.74,NA,NA,21.31
"C-rep3",8.7,NA,13.56,NA,NA,19.62,NA,9.31,11.08,15.17,NA,9.59,NA,9.5,7.61,7.96,10.03,8.99,10.86,7.01,NA,NA,8.14,NA,6.79,6.01,5.69,12.87,9.71,NA,NA,9.31,8.66,NA,14.34,10.04,9.22,9.37,NA,15.96,NA,NA,NA,12.09,13.86,11.64,4.92,NA,14.38,9.22,9.75,14.06,9.79,NA,10.31,7.33,7.28,10.73,8.47,NA,5.33,NA,NA,NA,7.56,8.33,18,NA,19.45
"D-rep1",NA,NA,12.88,NA,NA,NA,17.53,9.55,12.15,14.7,18.72,9.86,13.91,9.73,7.17,9.03,9.78,9.34,11.8,6.91,13.83,14.86,7.91,13.91,7,6.4,6.13,13.18,9.03,13.32,NA,8.48,8.28,NA,NA,10.26,8.76,10.26,13.65,NA,17.47,13.8,NA,10.99,14.42,6.46,5.27,NA,16.3,9.27,9.89,12.19,10.76,15.83,NA,7.37,7.87,13.96,8.65,17.2,3.07,13.75,12.18,NA,6.96,9.25,NA,NA,NA
"D-rep2",NA,NA,16.03,NA,16.18,NA,NA,9.54,13.89,NA,18.72,9.82,NA,9.4,7.15,9.02,9.9,9.26,10.6,6.88,NA,14.68,7.81,15.56,7.25,6.23,6.19,12.98,9.2,14.74,17.9,8.67,8.36,NA,NA,9.8,8.64,9.37,NA,19.78,22.18,14.86,NA,12.47,13.31,6.2,5.06,NA,19.11,9.63,8.98,14.16,10.8,13.58,10.16,7.37,7.52,13.1,8.17,15.6,2.9,11.99,11.87,NA,7.25,8.32,NA,NA,NA
