Code,Date,Pile_Height,Pile_Length,Boat_Weight_g,Start_Weight_g,End_Weight_g,Net_Start_Weight_g,Net_End_Weight_g,Difference,Moisture_Content_pc
1,19-04-2022,Bottom,Quarter,1.7463,4.6982,2.5095,2.9519,0.7632,2.1887,74.15%
2,19-04-2022,Middle,Quarter,12.8315,16.1742,13.6944,3.3427,0.8629,2.4798,74.19%
3,19-04-2022,Top,Quarter,1.733,4.7728,2.5258,3.0398,0.7928,2.247,73.92%
4,19-04-2022,Bottom,Half,1.7306,4.6631,2.4715,2.9325,0.7409,2.1916,74.73%
5,19-04-2022,Middle,Half,1.7322,4.7137,2.5154,2.9815,0.7832,2.1983,73.73%
6,19-04-2022,Top,Half,1.7466,4.6566,2.5083,2.91,0.7617,2.1483,73.82%
7,22-04-2022,Bottom,Quarter,1.7366,4.8855,2.5256,3.1489,0.789,2.3599,74.94%
8,22-04-2022,Middle,Quarter,1.7602,4.7148,2.5437,2.9546,0.7835,2.1711,73.48%
9,22-04-2022,Top,Quarter,1.7353,4.6252,2.6314,2.8899,0.8961,1.9938,68.99%
10,22-04-2022,Bottom,Half,1.7556,4.7677,2.5228,3.0121,0.7672,2.2449,74.53%
11,22-04-2022,Middle,Half,1.7411,4.7038,2.5166,2.9627,0.7755,2.1872,73.82%
12,22-04-2022,Top,Half,1.7321,4.6658,2.6241,2.9337,0.892,2.0417,69.59%
13,26-04-2022,Bottom,Quarter,1.7051,4.6418,2.4847,2.9367,0.7796,2.1571,73.45%
14,26-04-2022,Middle,Quarter,1.75,4.9959,2.6706,3.2459,0.9206,2.3253,71.64%
15,26-04-2022,Top,Quarter,1.7388,4.9776,2.9587,3.2388,1.2199,2.0189,62.33%
16,26-04-2022,Bottom,Half,1.735,4.6046,2.4548,2.8696,0.7198,2.1498,74.92%
17,26-04-2022,Middle,Half,1.7368,4.6849,2.5131,2.9481,0.7763,2.1718,73.67%
18,26-04-2022,Top,Half,1.7059,4.858,2.6007,3.1521,0.8948,2.2573,71.61%
19,29-04-2022,Bottom,Quarter,1.7192,4.613,2.4755,2.8938,0.7563,2.1375,73.86%
20,29-04-2022,Middle,Quarter,12.6529,15.1762,13.6092,2.5233,0.9563,1.567,62.10%
21,29-04-2022,Top,Quarter,1.7229,4.8195,2.7365,3.0966,1.0136,2.083,67.27%
22,29-04-2022,Bottom,Half,1.7266,4.6111,2.483,2.8845,0.7564,2.1281,73.78%
23,29-04-2022,Middle,Half,1.711,4.87,2.6029,3.159,0.8919,2.2671,71.77%
24,29-04-2022,Top,Half,1.7472,4.915,2.9632,3.1678,1.216,1.9518,61.61%
